year,semester,course_code,user_code,score,week,user_visit_count_exam,user_visit_count_forum,user_visit_count_material,user_visit_count_online_video,user_visit_count_page,user_visit_sum_exam,user_visit_sum_forum,user_visit_sum_material,user_visit_sum_online_video,user_visit_sum_page,material_count,material_count_dividedby_count,discussion_create,discussion_like,discussion_read,discussion_create_dividedby_count,discussion_like_dividedby_count,discussion_read_dividedby_count,weblink_count,online_video_total_count,online_video_total_time,online_video_total_time_by_VideoCount,online_video_total_time_by_VideoLength,online_video_real_time,online_video_real_time_by_VideoCount,online_video_real_time_by_VideoLength,online_video_unique_count,online_video_unique_count_by_VideoCount,online_video_count_by_day_type_morning,online_video_count_by_day_type_night,online_video_count_by_day_type_noon,online_video_time_by_day_type_morning,online_video_time_by_day_type_night,online_video_time_by_day_type_noon,online_video_count_by_holiday_type_holiday,online_video_count_by_holiday_type_workday,online_video_time_by_holiday_type_holiday,online_video_time_by_holiday_type_workday,user_visit_count_homework,user_visit_sum_homework,user_visit_count_chatroom,user_visit_count_web_link,user_visit_sum_chatroom,user_visit_sum_web_link,weblink_count_dividedby_count,user_visit_count_interaction,user_visit_sum_interaction,user_visit_count_slide,user_visit_sum_slide,user_visit_count_questionnaire,user_visit_sum_questionnaire,group
107,2,7162,B10621155,76.5,8,81.0,26.0,10.0,52.0,2.0,9964.0,6106.0,3294.0,28047.0,90.0,7.0,0.4666666666666667,0.0,22.0,8.0,0.0,1.2222222222222223,0.4444444444444443,0.0,171.0,14680.0,236.7741935483872,0.5377144568619527,7200.0,116.12903225806453,0.2637291614036825,34.0,0.5483870967741935,131.0,0.0,40.0,10767.0,0.0,3913.0,38.0,133.0,1043.0,13637.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10700074,1.4,8,2.0,5.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,2,7162,B10715129,38.8,8,19.0,29.0,0.0,5.0,0.0,410.0,441.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,6.111111111111111,0.0,4.0,758.0,12.225806451612902,0.0277648200477765,180.0,2.903225806451613,0.006593229035092,3.0,0.0483870967741935,0.0,0.0,4.0,0.0,0.0,758.0,2.0,2.0,86.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10715132,65.4,8,71.0,16.0,6.0,57.0,0.0,5210.0,4598.0,870.0,6126.0,0.0,9.0,0.6,0.0,3.0,26.0,0.0,0.1666666666666666,1.4444444444444446,0.0,168.0,13471.0,217.2741935483871,0.493429935176251,5640.0,90.96774193548389,0.2065878430995513,40.0,0.6451612903225806,17.0,12.0,139.0,2537.0,1421.0,9513.0,91.0,77.0,6606.0,6865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,2,7162,B10736202,1.4,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,2,7162,B10736213,1.4,8,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10742027,1.4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10742036,1.4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,M10645007,64.9,8,47.0,60.0,11.0,23.0,3.0,6530.0,7275.0,1335.0,1840.0,90.0,9.0,0.6,0.0,140.0,321.0,0.0,7.777777777777778,17.833333333333336,0.0,70.0,6838.0,110.29032258064518,0.2504694452331085,2700.0,43.5483870967742,0.0988984355263808,19.0,0.3064516129032257,56.0,0.0,14.0,4168.0,0.0,2670.0,39.0,31.0,1143.0,5695.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,2,7162,A10622027,92.7,9,54.0,47.0,0.0,38.0,0.0,2853.0,6503.0,0.0,6039.0,0.0,0.0,0.0,1.0,40.0,22.0,0.0555555555555555,2.2222222222222223,1.2222222222222223,0.0,145.0,21556.0,347.6774193548387,0.7895758060024696,5100.0,82.25806451612902,0.1868081559942751,55.0,0.8870967741935483,91.0,0.0,54.0,12563.0,0.0,8993.0,50.0,95.0,3677.0,17879.0,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
