year,semester,course_code,user_code,score,week,user_visit_count_chatroom,user_visit_count_forum,user_visit_count_material,user_visit_sum_chatroom,user_visit_sum_forum,user_visit_sum_material,material_count,material_count_dividedby_count,discussion_create,discussion_like,discussion_read,discussion_create_dividedby_count,discussion_like_dividedby_count,discussion_read_dividedby_count,weblink_count,online_video_total_count,online_video_total_time,online_video_total_time_by_VideoCount,online_video_total_time_by_VideoLength,online_video_real_time,online_video_real_time_by_VideoCount,online_video_real_time_by_VideoLength,online_video_unique_count,online_video_unique_count_by_VideoCount,user_visit_count_exam,user_visit_count_homework,user_visit_count_interaction,user_visit_count_online_video,user_visit_count_page,user_visit_sum_exam,user_visit_sum_homework,user_visit_sum_interaction,user_visit_sum_online_video,user_visit_sum_page,online_video_count_by_day_type_morning,online_video_count_by_day_type_night,online_video_count_by_day_type_noon,online_video_time_by_day_type_morning,online_video_time_by_day_type_night,online_video_time_by_day_type_noon,online_video_count_by_holiday_type_holiday,online_video_count_by_holiday_type_workday,online_video_time_by_holiday_type_holiday,online_video_time_by_holiday_type_workday,user_visit_count_virtual_classroom,user_visit_sum_virtual_classroom,user_visit_count_web_link,user_visit_sum_web_link,weblink_count_dividedby_count,user_visit_count_zoom,user_visit_sum_zoom,group
107,1,8861,A10623028,90.6,4,0.0,26.0,4.0,0.0,1333.0,128.0,4.0,0.3333333333333333,10.0,0.0,13.0,1.0,0.0,1.2999999999999998,0.0,28.0,1400.0,20.58823529411765,0.0217540853550751,900.0,13.235294117647058,0.013984769156834,6.0,0.0882352941176469,9.0,8.0,2.0,13.0,14.0,60.0,2002.0,22.0,3678.0,2809.0,25.0,0.0,3.0,1199.0,0.0,201.0,3.0,25.0,201.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,A10623034,65.9,4,0.0,18.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,12.7,0.0,9.0,1173.0,17.25,0.0182268158010736,540.0,7.9411764705882355,0.0083908614941003,6.0,0.088235294117647,12.0,5.0,2.0,11.0,6.0,1103.0,235.0,34.0,1184.0,165.0,4.0,5.0,0.0,579.0,594.0,0.0,5.0,4.0,594.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,A10623048,84.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,31.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,A10723033,88.9,4,5.0,156.0,5.0,69.0,20280.0,39.0,3.0,0.2499999999999999,0.0,4.0,459.0,0.0,0.4,45.900000000000006,0.0,44.0,3725.0,54.77941176470589,0.0578814056768962,1800.0,26.47058823529412,0.0279695383136679,12.0,0.1764705882352939,31.0,6.0,2.0,25.0,20.0,1684.0,1981.0,1652.0,7944.0,6737.0,44.0,0.0,0.0,3725.0,0.0,0.0,5.0,39.0,80.0,3645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10314063,2.6,4,9.0,31.0,10.0,68.0,463.0,41.0,3.0,0.25,0.0,0.0,75.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,21.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10335025,76.4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10335052,81.8,4,2.0,60.0,4.0,19.0,4198.0,34.0,1.0,0.0833333333333333,14.0,0.0,802.0,1.4,0.0,80.19999999999999,0.0,9.0,666.0,9.794117647058824,0.0103487291760571,540.0,7.9411764705882355,0.0083908614941004,8.0,0.1176470588235294,13.0,5.0,4.0,23.0,5.0,562.0,1314.0,2588.0,2111.0,1800.0,9.0,0.0,0.0,666.0,0.0,0.0,0.0,9.0,0.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10400015,86.2,4,0.0,44.0,5.0,0.0,1984.0,14.0,2.0,0.1666666666666666,0.0,0.0,337.0,0.0,0.0,33.7,0.0,2.0,2.0,0.0294117647058823,3.1077264792964506e-05,60.0,0.8823529411764706,0.0009323179437889,1.0,0.0147058823529411,14.0,6.0,2.0,2.0,0.0,262.0,42.0,51.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10400020,67.9,4,4.0,43.0,0.0,12.0,1769.0,0.0,0.0,0.0,10.0,0.0,164.0,1.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,17.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10400024,62.9,4,6.0,67.0,3.0,48.0,2241.0,20.0,1.0,0.0833333333333333,0.0,0.0,1152.0,0.0,0.0,115.2,0.0,1.0,3.0,0.0441176470588235,4.661589718944676e-05,60.0,0.8823529411764706,0.0009323179437889,1.0,0.0147058823529411,14.0,18.0,0.0,16.0,0.0,99.0,992.0,0.0,34.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
